,Song,Movie,Singers,Musicians,Lyricists,Lyrics
278,Peh Gaya Khalara,Fukrey Returns,"Divya Kumar, Jasleen Royal, Akasa Singh, Akanksha Bhandari",Jasleen Royal,Aditya Sharma,"Peh gaya khalara challa jaisi kanwara Phirda si kudiyan de pichhe maara maara Ikattha mohalla saara vekhda nazara Ik peepni da ajj kivein vajjna nagada Gehdi ti chhedi layi town shehar Pind Bani na bani par uski koyi friend Kardi si kudiyan uss naal cheat Keh gayi jo sweet piya on repeat Keh gayi jo sweet piya on repeat Peh gaya khalara hoye Peh gaya khalara Nachdi ve nach tera janchda hullara Peh gaya khalara hoye Peh gaya khalara Ik peepni da ajj kivein vajjna nagada Thodi haule haule, paanv rolle sholle Kyun kuraf tolle, kaise raaz khole Vekh mere dolle sholle Rakhdi aa mainu dil de kole Kabhi ni pagli ho saari Dil te jaan sab haari Mangdi aan mera number shumber Hoke ishqe ch kalandar Raatana nu taak ke ambar Hundi mere sabne.. Peh gaya khalara hoye Peh gaya khalara Nachdi ve nach tera janchda hullara Peh gaya khalara hoye Peh gaya khalara Ik peepni da ajj kivein vajjna nagada Dhol badha de DJ kick thoda kam Teri wali beat mein nahi koyi dum Baari barsi khatan gaya si Khateya ki tu heer Enna vichon kehde Pind di Patti jo tu Heer Baari barsi khatan gaya si Ban gaya mera seen Main uska hoon Ranjha te Oh meri hai queen Ho taan bechari kismat di maari Isko pata ni ki la layi ae bimari Peh gaya khalara hoye Peh gaya khalara Nachdi ve nach tera janchda hullara Peh gaya khalara hoye Peh gaya khalara Ik peepni da ajj kivein vajjna nagada x (2)"
279,Mehbooba,Fukrey Returns,"Raftaar, Neha Kakkar, Yasser Desai","Prem, Hardeep",Kumaar,"Afwaah afwaah, yeh udne lagi afwaah Main hoon inki, hai shor khamakha Jhoote aashiq aur jhooti hai charcha Bolein kuchh bhi hai mujhko nahi parwah Wanna love me Wanna wanna love me x (4) O meri mehbooba O meri mehbooba Firdaus dil behosh Dil tere ishq mein dooba O meri mehbooba, mehbooba mehbooba Meri meri meri mehbooba Teri teri teri aankhon mein dooba Gehra samundar hai ya hai ajuba Main mar hi na jaaun Na uthoon main subah Na kar tu mere dil ke tu tukde Na daal tu bol ke fukrey Dekho bas itni hai baat Launda smart hai Bas thodi aadatein kharab hain Bigdi bigdi badmashiyan inki Mash-hoor kitni ayyashiyan inki Mere pechhe barbaad rehte hain Keh doon inse yehi baat kehte hain Wanna love me Wanna wanna love me x (4) O meri mehbooba, mehbooba mehbooba Tujhe jana hai to jaa Teri marzi meri kya O meri mehbooba Firdaus dil behosh Dil tere ishq mein dooba Main nahi mehbooba Nahi teri mehbooba Tujhe jana hai to ja Teri marzi meri kya Sunke maza hai na aata Waise aise na main kisi ko patata Aise aashiqon ko kaun satata Jana hai to ja tujhe bye bye tata"
280,Ek Dil Ek Jaan,Padmavati,Shivam Pathak,Sanjay Leela Bhansali,A M Turaz,"Ek dil hai, ek jaan hai Donon tujhpe kurban hai Ek main hoon, ek imaan hai Donon tujhpe haan tujhpe Donon tujhpe kurban hai Ek dil hai Ishq bhi tu, mera pyar bhi tu Meri gaat, sath, jazbaat bhi tu Parwaz bhi tu, rooh-e-saaz bhi tu Meri saans, naas, aab-e-hayat bhi tu Mera raaz bhi, tu pukhraj bhi tu Meri aas, pyaas aur libas bhi tu Meri jeet bhi tu, meri haar bhi tu Mera kaaj, raaj aur viraj bhi tu Mere ishq ke har makaam mein Har subah mein, har sham mein Ek ruthba hai ek shaan hai Donon tujhpe haan tujhpe Donon tujhpe kurban hai Ek dil hai"
281,Sahiba Russ Gayiya,Firangi,Rahat Fateh Ali Khan,Jatinder Shah,Dr. Devendra Kafir,"Nain nain se kuchh na bole Raina na darwaza khole Chhup chhup ke kyun roye man ki maina Pyar ni hota maashatole Sabse wakhre iske chole Add jaye te phir na maane kehna Ja nai bolna Main nai bolna Ja nahi bolna ja Ja nahi bolna Tainu koyi khabar nai mirza Koyi jod khul gaya hai dil da Hatthan chon ishqe di mehndi Thodi chhut gayia Sahiba russ gayiya, russ gayiya Sahiba russ gayiya x (4) Kya khoya, kitna khoya, kya hai paya Kis jagah pe pyar mujhko leke aaya Dil mera wang Jogiya rulya Mujhko to apna naam hi bhulleya Phir bhi raaz-e-ishq na khulleya Ki karan, ki karan Chaar dina di jindadi Do din jee ke ruk gayiya Sahiba russ gayiya, russ gayiya Sahiba russ gayiya x (4) Man’ne te man jawan Par dil chandre nu Channa dass kivein samjhawan Par dil chandre nu Channa dass kivein samjhawan Sahiba russ gayiya, russ gayiya Sahiba russ gayiya"
282,Barbie Girl,Tera Intezaar,"Swati Sharma, Lil Golu, Hritiqa Chheber",Raaj Aashoo,Shabbir Ahmed,"Jhumka patiyale wala Beer vich aisa dala Jhumka patiyale wala Ear vich aisa dala Meri beauty ke aage saare swag’an dull I’m a sexy Barbie girl I’m a sexy Barbie girl Shining beauty like a pearl x (2) I’m a sexy Barbie girl Tipsy tipsy tipsy! Sexy Barbie girl, just like a pearl Teri beauty ke aage hain saare swag dull Yellow fendi heel kardi ae kill Khunde kar bhaari baby main bharoonga bill Hip matke chaal Milky milky gaal Silky silky baal Barbie beauty ko sambhaal Poore club ka temperature ho raha hai rise Excitement kardi ae teri blue eyes Gallan pe dimple hai Bhi purple hai Exclusive model hoon Mera bada killer hai Arre red red lage Cheeks yeh tere kashmiri apple I’m a sexy Barbie girl I’m a sexy Barbie girl Shining beauty like a pearl I’m a sexy Barbie girl You are sexy Barbie girl You are sexy Barbie girl I’m a sexy Barbie girl"
283,Farrata,Tumhari Sulu,"Armaan Malik, Adityan, Dev Arijit, Tushar Joshi",Amartya Rahut “Bobo”,Siddhant Kaushal,"Udein udein ghomein phirein Jaise phirki mein machti hai khalbali Phuljhadi hai yeh kudi Oho farrata, oho farrata Left right left Left right left Baayein mud! Mera thoda sakht pakoda Shoron ka phir bread pakoda Khaake sannate ko toda-phoda Jaise haddi ke liye soup ka roda Peeke ban jaate hathoda Waise day to day hua hai chauda Farrata farrata hai Aaloo bomb patakha hai Chhote se packing mein aayi Guddi yeh dhamaka hai Oho farrata, oho sharrata Ban gayi tadaka o ho ho Oho bazooka, pyara sa mukka Carry karke handbag leke Aatishi si hai chali Udein udein ghomein phirein Jaise phirki mein machti hai khalbali Phuljhadi hai yeh kudi Oho farrata, oho farrata Herogiri poori bhari Jalwa hai Bachchan se bhi badhke Bheedu hai re dil se yeh Oho farrata, oho farrata Ruthba iska hai hawa sa Udti yeh jahan dil chaahe Milke phir janta bole Oho farrata, oho farrata Oho farrata, oho sharrata Ban gayi tadaka o ho ho Oho bazooka, pyara sa mukka Kare bhaunchakka Oho farrata, oho sharrata Ban gayi tadaka o ho ho Oho bazooka, pyara sa mukka Carry karke handbag leke Aatishi si hai chali Farrata! Farrata!"
284,Tanha Tanha,Dil Jo Na Keh Saka,"Jubin Nautiyal, Aditi Paul",Shail-Pritesh,A M Turaz,Tanha tanha ghoom ke Dhoondhe dil jise Lamha lamha beet ke Ghuzre dil jisse Phirta hoon sajha ke In ankhon mein use Milta hoon roz main Apni baaton mein use Tanha tanha ghoom ke Dhoondhe dil jise Nazron mein meri to tu hi basi hai Kaise main kisi ko dekh loon Kisi ko dekh loon Tera hua hoon main khud se bhi zyada Kaise phir khud ko rok loon Khud ko rok loon Phirta hoon sajha ke In ankhon mein use Milta hoon roz main Apni baaton mein use Tanha tanha ghoom ke Dhoondhe dil jise Lamha lamha beet ke Ghuzre dil jisse
285,Rakshassi,2,"Blaaze, Kailash Kher, Nakash Aziz",A.R. Rahman,Abbas Tyrewala,Isaac Asimo ka pota Bas diktha hoon main chota x (2) Yeah yeah! Rakshassi yeh pakshi Jala ke manayenge Diwali Anaadi khiladi Narak mein teri jagah khaali Maaro ek ande se Nikla bura sapna hai Bas ek us ande ko Bhurji bana ke khayenge Rangi rangi rangi rangi satarangi Sar pe chadh ke kahan atrangi Jagi jagi jagi jagi jagdangi Sri Rama ka hoon main Bajarangi x (2) Puti puti puti puti liliputi Har bimari ki main chhooti Puti puti puti rangi liliputi Band lohe ki hoon main mutthi Rakshassi yeh pakshi Jala ke manayenge Diwali Anaadi khiladi Narak mein teri jagah khaali Maaro ek ande se Nikla bura sapna hai Bas ek us ande ko Bhurji bana ke khayenge Ho ho ghaseeto chalo Ho ho ghaseeto chalo Maaro iss pakshi ko
286,Mechanical Sundariye,2,"Armaan Malik, Shashaa Tirupati",A.R. Rahman,Abbas Tyrewala,"Hey tu hi re, tu hi re battery hai Saanson ki tu bijili Hey tu hi re, tu hi re battery hai Discharge na hona kabhi Sun to mechanical sundariye Tere hi current se main jaaga priye Dil mein utar gayi data jaise Hey my digital sohniye Chhu loon tere siliconic gaal kabhi Firewall jaise rokein baal kabhi Wifi se duniya ki sair karein Hoon super conductor main Hey tu hi re, tu hi re battery hai Saanson ki tu bijili Hey tu hi re, tu hi re battery hai Discharge na hona kabhi x (2) Sun to mechanical sundariye Tere hi current se main jaaga priye Dil mein utar gayi data jaise Hey my digital sohniye Woh sensor hai jis se jaage ehsaas Woh cable jo ho energy pass Hai disc tu aur hai drive bhi tu Woh software jis se bujhe meri pyaas Tere RAM se CPU dhadke Aa login kar le, tera password de Electromagnetic rishte mein Yeh love shuv kahan se aa gaya Aisa tu aisa shuruwat meri Mega oh mega tu hi aakhiri Love you from zero to infinity Hey tu hi re, tu hi re battery hai Saanson ki tu bijili Hey tu hi re, tu hi re battery hai Discharge na hona kabhi x (2) Sun to mechanical sundariye Tere hi current se main jaaga priye Dil mein utar gayi data jaise Hey my digital sohniye Chhu loon tere siliconic gaal kabhi Firewall jaise rokein baal kabhi Wifi se duniya ki sair karein Hoon super conductor main Hey tu hi re, tu hi re battery hai Saanson ki tu bijili Hey tu hi re, tu hi re battery hai Discharge na hona kabhi x (2)"
287,Khali Khali Dil,Tera Intezaar,"Armaan Malik, Payal Dev",Raaj Aashoo,Shabbir Ahmed,Tujhmein rahoon main ijazat de Jeene ki mujhko aadat de Hmm tujhmein rahoon main ijazat de Jeene ki mujhko aadat de Tere ishq ko tu rakhna Khud mein hifazat se Khali khali dil ko Bhar denge mohabbat se Khaali khaali dil ko Bhar denge mohabbat se Hote hi shaam teri Galiyon mein aana jaana Aise hi chalta rahe Tera mera milna milana Ab tak rahe akele Hum iss zamane mein Madhosh mujhe na kar dena Hothon ki rahat se Khali khali dil ko Bhar denge mohabbat se Khaali khaali dil ko Bhar denge mohabbat se Khali khali dil ko Bhar denge mohabbat se
288,Hawa Hawai 2.0,Tumhari Sulu,"Kavita Krishnamurthy, Shashaa Tirupati",Tanishk Bagchi,Javed Akhtar,"Hawa hawai! ui ui ui! Main khwabon ki shehzadi Main hoon har dil pe chhayi x (2) Baadal hain meri zulfein Bijli meri angdaayi Bijli giraane main hoon aayi Oho bijli giraane main hoon aayi Kehte hain mujhko hawa hawai Hey! Hawa hawai, hawa hawai x (3) Ui ui ui x (2) Zumm zumm zumm Laayi rangeen afsane Tu bhi sunle deewane Aa dil mein halchal kar doon Aa tujhko pagal kar doon Sagar se moti chheenu Deepak se jyoti chheenu Patthar se aag laga loon Seene se raaz chura loon Haan chura loon Haan haan chura loon Haan haan chura loon Jeenu jo tumne baat chhupayi Ho jaanu jo tumne baat chhupayi Kehte hain mujhko hawa hawai Hey! Hawa hawai, hawa hawai x (3) Hawa hawai!"
289,Jaane De,Qarib Qarib Single,Atif Aslam,Vishal Mishra,Raj Shekhar,"Woh jo tha khwaab sa Kya kahein jaane de Yeh jo hai kam se kam Yeh rahe ke jaane de x (2) Kyun na rok kar khud ko Ek mashwara kar lein Magar jaane de Aadtan to sochenge Hota yun to kya hota Magar jaane de Woh jo tha khwaab sa Kya kahein jaane de Yeh jo hai kam se kam Yeh rahe ke jaane de Aasan nahi hai magar Jaana nahi ab udhar x (2) Maalum hai jahan dard hai Wahin phir bhi kyun jaayein Wohi kashmakash, wohi uljhanein Wohi tees kyun laayein Behtar to yeh hota Hum mile hi na hote Magar jaane de Aadtan to sochenge Hota yun to kya hota Magar jaane de Woh jo tha khwaab sa Kya kahein jaane de Yeh jo hai kam se kam Yeh rahe ke jaane de"
290,Ghoomar,Padmavati,"Shreya Ghoshal, Swaroop Khan",Sanjay Leela Bhansali,A M Turaz,"Ghoomar rab vaare aap padharo sa Aao ji aao ghoomar hi dilwa de Padharo sa ghoomar hi dilwa de Balam karo puran puran door da Aas mharo jeevad ghando hichkave Ho ghabrave man mein bhaare bharo Bhar lo bhanwar man bhaawe Chhamak chham baaje, payal baaje Bai sa ghere Chhamak chhamak ghungra baaje Aao sa ghoomar hi dilwa de Aao sa ghoomar hi dilwa de Dhanak preet ki sar pe odh ke Ghumoor ghumoor ghoome Haan ghumoor ghumoor ghoome Ho danak reit sab jag ki chhod kar Ghoomar ghoomar ghoome bharke Dhola wale thaat ghoomar Ghoomar ghoomar Ghoomar ghoomar ghoome re Ghoomar ghoomar ghoome re Bai sa ghoomar ghoome re Bhaare saare kaya bole Dhola ji ki chhaya ho le Man ka ghoomar jab bhi dole Soonepan mein neela kar de Dhola wale thaat ghoomar Ghoomar ghoomar Ghoomar ghoomar ghoome re Ghoomar ghoomar ghoome re Bai sa ghoomar ghoome re Bhanware ehsason ki raunak Hain bhanware diwali Man mehal ki saari diwarein Thaare rang rangwa li Paake thara saya Tan hai jagmagaya Taaron bhari ho gayi Mhaari saari kari raat bhar ke Dhola wale thaat ghoomar Ghoomar ghoomar Ghoomar ghoomar ghoome re Ghoomar ghoomar ghoome re Bhai sa ghoomar ghoome re Aao ji, aao re ghoomar khel aavo Aapa sath sath ghoomar sagda khel aavo Arre rang o purti chunri payaliya pe pehno Ho ghoomar jhoomar jhoomar ghoomar Ghoomar pe khelo Khela din dhayi khele sasu ji ghoomar khele Nana karo sai khele, bai sa ghoomar khele Ghoome re, ghoome re, ghoome Ghoomar ghoomar ghoome Ghoome jhoome, ghoome jhoome Ghoomar ghoome ghoome x (2) Ghoomar ghoome Ghoomar ghoomar…"
291,Tu Banja Gali Banaras Ki,Shaadi Mein Zaroor Aana,Asit Tripathy,Rashid Khan,Shakeel Azmi,Tu banja gali Banaras ki Main shaam talak bhatkoon tujhmein [Aalap] Tu banja gali Benaras ki Main shaam talak bhatkoon tujhmein x (2) Teri baatein chatpati chaat si hain Teri aankhein Ganga ghaat si hain Main ghaat kinare so jaaun Phir subah subah jagoon tujhmein Tu banja gali Banaras ki Main shaam talak bhatkoon tujhmein x (2) Tujhe shehar ghumaun der talak Yoonhi dayein bayein muda karoon Tujhe scooter pe bitha ke main Tere sath hawa mein uda karoon x (2) Meri kamar pe tera hath aaye To bulb raghon mein jal jaye Meri saans mein teri saans chale Main dil ki tarah dhadkoon tujhmein Tu banja gali Benaras ki Main shaam talak bhatkoon tujhmein x (2) Har Sunday main sangam talkies mein Tujhe film dikhaun night show Filmon ki tarah ik din yoon ho Ban jaaun main tera hero x (2) Tera dil behlaun dance karoon Main yoonhi tujhe romance karoon Tere dil mein rahu khushiyon ki tarah Tu hanse to main jhalkoon tujhmein Tu banja gali Banaras ki Main shaam talak bhatkoon tujhmein x (2)
292,Pallo Latke,Shaadi Mein Zaroor Aana,"Jyotica Tangri, Yasser Desai","Raees, Zain-Sam",Kumaar,"Do tole ki mundri laa de Teen tolle ka kangna Munh dikhayi dede phir tu Leja apne angna x (2) Na samajh tu cheez purani Chehra mera piece nurani Dekhega to kha jaayega Sau sau jhatke Pallo latke re mahro pallo latke Pallo latke re mahro pallo latke Zara sa, zara sa, zara sa tedho hoja balma Pallo latke re tharo pallo latke Pallo latke re tharo pallo latke Arre face vilayti, ghoonghat desi Brand bada hi dhaakad tu Bollywood mera danka bajta Down ko rakh thodi akad tu Beauty pe huye launde bawle Baat alag tere face mein Re Kat, Kareena ghani sain par Tere jaisi rani poore desh mein Re dheere dheere chunri sarakne lagi Meri dhak dhak dhadkan badhne lagi Thoda close to aaja baby, mukhda dikha ja Bina peete hi mujhe to yaaron chadhne lagi Sajna ve ankh teri hai badtameez re Paani paani karde sharam se hai aisi cheez re x (2) Hai neeyat ki khoti, karti badmashi Beiman bhi hai yeh haan achchi khaasi Karti jave yeh shaitani Khud ki kaise karoon nigrani Ghoori jave nonstop mujhe dat dat ke re Pallo latke re mahro pallo latke Pallo latke re mahro pallo latke Zara sa, zara sa, zara sa tedho hoja balma Pallo latke re tharo pallo latke Pallo latke re tharo pallo latke"
293,Gudgudi,Secret Superstar,Sunidhi Chauhan,Amit Trivedi,Kausar Munir,"Sach batao ammi itne paise kahan se aaye Aa gaye na kahin se bhi Main nahi le sakti, return kar aao Pagal hai tu, zindagi na cheezein hai Jo na main tujhe de paayi hoon Na de paaungi Tujhe hanste huye dekhne ki Khushi mujhse na chheen Yeh dekh duniya kitni badi aur Hamara Baroda kitna chhota Yeh! yeh Baroda hai Abhi abhi aankhon ne seekha matakna Abhi abhi daanton ne seekha chamakna Lagta hai jaise abhi abhi is dil ne Seekha dil se hansna Abhi abhi baalon ne seekha hai khulna Abhi abhi dhagon ne seekha hai khulna Lagta hai jaise abhi abhi is dil ne Seekha dil se hansna, hey! Gudgudi, gudgudi Karne lagi sabziyan Gudgudi, gudgudi Karne lagi rotiyan Gudgudi, gudgudi Karne laga hai har nazara Gudgudi, gudgudi Karne lagi khidkiyan Gudgudi, gudgudi Karne lagi kursiyan Gudgudi, gudgudi Karne laga hai har nazara Aa.."
294,Main Hoon Saath Tere,Shaadi Mein Zaroor Aana,Arijit Singh,JAM8,"Shakeel Azmi, Kunaal Verma",Aasman sitaron se chalakne laga Chaand sa tu jo mujhmein chamakne laga Rahoon tere yoon paas main Banoon tera ehsas main Yaar jee loon aa teri har saans mein Shaam sa tu dhalta Tu subah sa nikalta Tere saaye mein chalta Main hoon saath tere Main hoon saath tere Hai yehi irada Tujhe chaahun khud se zyada Dil se hai yeh vaada Main hoon saath tere Main hoon saath tere Seene mein tere pyar ki Uddti hai patangein Udd ke yoon hawa mein tera Main anchhal hua Ho bheega hoon saath tere main Baarishon mein teri Bikhri jo teri zulf to Main baadal hua Teri kaali aankhein Mere khwaab ka hai dariya Main utar ke inmein kho gaya Hai yehi irada Tujhe chaahun khud se zyada Dil se hai yeh vaada Main hoon saath tere x (4)
295,Ban Ja Meri Rani,Tumhari Sulu,Guru Randhawa,Anu Malik,-,"Ban ja tu meri rani Tainu mehal dewa doonga Ban meri mehbooba Main tainu Taj bawa doonga x (2) Sun meri rani rani Ban meri rani rani Shanjahan main tera Tainu Mumtaj bana doonga Ban ja tu meri rani Tainu mehal dewa doonga Badan teri di khushbu Mainu soan na deve ni x (2) Raatan nu uth uthke sochan Baare tere ne x (2) Sun meri rani rani Ban meri rani rani Haan kar de tu mainu Main duniya nu hila doonga Ban ja tu meri rani Tainu mehal dewa doonga Tu meri hai one and only baby So hot xxxx baby Tere jaisi duniya mein kabhi nahi dekhi Let we explains like amaani baby You already know maine kya bola, bola Lock mera dil toone khola, khola Everybody on the black light kholo Je nikle tu bann ke patola Ab ishq bulawa mainu Tere naam da aaya ni Tere pichhe duniyadari Chhadd main aaya ni x (2) Sun meri rani rani Ban meri rani rani Mildi haye jagir te Tera main naah likhwa doonga Ban ja tu meri rani Tainu mehal dewa doonga Akhiyan nu rehn de Akhiyan de kol kol x (2) Aaja ni aaja sohni Aaja mere dil de kol x (2) Akhiyan nu rehn de Akhiyan de kol kol x (2)"
296,Sexy Baliye,Secret Superstar,Mika Singh,Amit Trivedi,Kausar Munir,"Haaye.. ha aa.. Hoye.. Haye teri boli bolungi Teri baani gaaungi Tere ishq da chola pehnke main to Rang rang jaaungi Haye haye.. Tera bhangra dalungi Tera gidha paungi Tere ishq da chooda pehan ke main to Rang rang jaaungi Haye haye.. Nachdi phiran, main nachdi phiran Nachdi phiran main ban-than ke Main sexy baliye ho ho Main sexy baliye x (2) Let’s go Everybody in the house Check check check check Check your booty c’mmon Check check check check check check Ho very hot whisky shot Baby ye to chadh gayi Lagi vaat meri khaat Khetan vichon lag gayi Ni mere note tere honth Mil ke party karenge Tandoori manchoori Ho mainu donon chalenge Labhdi phiran, main labhdi phiran Labhdi phiran main ban than ke Main sexy baliye ho ho Main sexy baliye ho ho Main sexy baliye x (2)"
297,Tanhaiyaan,Aksar 2,Amit Mishra,Mithoon,Sayeed Quadri,"Jab tak hamari zarurat rahi Mohabbat tabhi tak mohabbat rahi Jab tak hamari zarurat rahi Inayat tabhi tak inayat rahi Milo tum ho akhir, tum anjan ho Na chaahat rahi na muravvat rahi Tanhaiyaan haan Toone kyun di hain bewajah re Ruswaiyaan haan Toone kyun di hain bewajah re Behchaniyaan Toone kyun di hain bewajah re Khamoshiyaan Toone kyun di hain bewajah re Unn raaton ko main bataunga kya Jin raaton mein tu meri bahon mein tha Unn shaamon ko main samjhaunga kya Jin shaamon mein tu mujhe milta raha Miloge jo phir se to ehsaan ho Hai chaahat yehi, ab hai hasrat yehi Tanhaiyaan haan Toone kyun di hain bewajah re Ruswaiyaan haan Toone kyun di hain bewajah re Behchaniyaan Toone kyun di hain bewajah re Khamoshiyaan Toone kyun di hain bewajah re Unn khwaabon ko main samjhaunga kya Jin khwaabon mein tu mere aata raha Unn raahon ko main bataunga kya Jin raahon pe tu mere sath chala Yehi soch karke pareshan hai Unn raaston pe tu kahan kho gayi Tanhaiyaan haan Toone kyun di hain bewajah re Ruswaiyaan haan Toone kyun di hain bewajah re Behchaniyaan Toone kyun di hain bewajah re Khamoshiyaan Toone kyun di hain bewajah re Jab tak hamari zarurat thi Tab tak hi kyun yeh mohabbat thi x (4)"
